Timestamp,Presiune1_Valva1,Presiune2_Valva1,Presiune1_Valva2,Presiune2_Valva2,Presiune1_Valva3,Presiune2_Valva3,Presiune1_Valva4,Presiune2_Valva4,pre_input,ex_0,Label
1778161380577,3919,65532,1436,1029,6,49,8,1,4000,10000,4
1778161380637,3916,65531,1434,1029,6,47,11,3,4000,10000,4
1778161380677,3912,65531,1436,1030,5,49,8,1,4000,10000,4
1778161380757,3906,65532,1433,1029,7,48,10,3,4000,10000,4
1778161380797,3909,65531,1434,1029,6,47,10,1,4000,10000,4
1778161380877,3908,65531,1433,1029,6,47,8,1,4000,10000,4
1778161380937,3912,65530,1433,1029,6,48,11,1,4000,10000,4
1778161381017,3916,65531,1434,1029,7,47,8,3,4000,10000,4
1778161381057,3916,65531,1434,1029,7,47,14,1,4000,10000,4
1778161381117,3915,65531,1436,1029,5,48,10,1,4000,10000,4
1778161381157,3916,65531,1434,1029,6,49,8,0,4000,10000,4
1778161381237,3917,65532,1436,1029,7,47,12,3,4000,10000,4
1778161381257,3917,65531,1434,1029,4,48,10,0,4000,10000,4
1778161381337,3917,65532,1436,1029,7,47,10,1,4000,10000,4
1778161381397,3920,65532,1434,1029,6,48,12,3,4000,10000,4
1778161381437,3917,65531,1436,1029,5,49,14,3,4000,10000,4
1778161381517,3919,65530,1433,1030,5,48,12,3,4000,10000,4
1778161381577,3918,65530,1436,1029,6,45,12,1,4000,10000,4
1778161381637,3924,65534,1434,1029,7,45,12,3,4000,10000,4
1778161381717,3927,65531,1434,1029,7,51,11,3,4000,10000,4
1778161381757,3927,65531,1434,1029,5,47,12,1,4000,10000,4
1778161381797,137,3905,1434,1029,6,47,12,53,4000,10000,4
1778161381857,56,3545,1436,1028,4,49,12,20,4000,10000,4
1778161381937,36,3348,1434,1030,6,44,8,12,4000,10000,4
1778161381977,31,3501,1434,1029,6,47,10,11,4000,10000,4
1778161382037,30,3497,1433,1029,7,47,8,9,4000,10000,4
1778161382077,26,3663,1434,1029,4,47,11,12,4000,10000,4
1778161382157,65530,3443,1434,1029,7,47,11,4,4000,10000,4
1778161382217,65533,3825,1433,1030,6,48,8,65535,4000,10000,4
1778161382277,0,3839,1434,1031,6,51,11,3,4000,10000,4
1778161382337,65533,3889,1434,1030,6,48,11,3,4000,10000,4
1778161382417,65534,3907,1436,1030,5,48,10,3,4000,10000,4
1778161382457,65534,3918,1436,1029,5,48,12,3,4000,10000,4
1778161382517,0,3918,1436,1030,6,51,10,3,4000,10000,4
1778161382577,65534,3915,1436,1029,6,47,8,1,4000,10000,4
1778161382637,0,3912,1436,1029,9,48,10,1,4000,10000,4
1778161382697,0,3914,1436,1029,6,47,12,1,4000,10000,4
1778161382777,0,3911,1434,1030,5,49,11,5,4000,10000,4
1778161382797,0,3908,1436,1029,7,48,11,4,4000,10000,4
1778161382877,0,3907,1436,1028,9,49,8,1,4000,10000,4
1778161382937,0,3907,1434,1030,7,48,8,0,4000,10000,4
1778161382977,1,3903,1434,1029,6,49,10,3,4000,10000,4
1778161383057,0,3906,1434,1028,7,47,12,3,4000,10000,4
1778161383117,65534,3909,1436,1029,7,47,10,1,4000,10000,4
1778161383197,65534,3908,1434,1029,5,47,12,1,4000,10000,4
1778161383237,65534,3908,1433,1030,6,47,10,1,4000,10000,4
1778161383317,0,3909,1434,1029,6,48,14,1,4000,10000,4
1778161383377,65534,3908,1434,1031,6,47,8,1,4000,10000,4
1778161383437,0,3906,1436,1030,6,49,14,3,4000,10000,4
1778161383497,65534,3906,1433,1029,7,49,14,3,4000,10000,4
1778161383557,65534,3907,1433,1029,6,49,11,4,4000,10000,4
1778161383617,65534,3910,1434,1029,6,49,8,0,4000,10000,4
1778161383677,65534,3907,1434,1029,9,48,8,3,4000,10000,4
1778161383717,65534,3906,1434,1029,6,51,10,1,4000,10000,4
1778161383797,278,1023,1434,1029,6,47,8,49,4000,10000,4
1778161383817,3434,114,1434,1031,5,47,7,46,4000,10000,4
1778161383897,3537,39,1434,1029,6,48,11,19,4000,10000,4
1778161383937,3507,31,1434,1029,7,48,11,13,4000,10000,4
1778161384017,3430,26,1436,1029,6,47,12,12,4000,10000,4
1778161384037,3589,23,1436,1029,7,51,10,11,4000,10000,4
1778161384117,3377,20,1436,1028,4,47,12,9,4000,10000,4
1778161384177,3415,65528,1433,1029,5,49,12,65535,4000,10000,4
1778161384217,3669,65531,1436,1030,9,47,8,1,4000,10000,4
1778161384257,3781,65532,1432,1029,7,48,7,0,4000,10000,4
1778161384337,3879,65531,1434,1030,6,47,12,3,4000,10000,4
1778161384377,3898,65532,1433,1030,6,48,12,1,4000,10000,4
1778161384457,3913,65531,1434,1029,5,45,10,3,4000,10000,4
1778161384476,3917,65530,1436,1029,7,48,14,3,4000,10000,4
1778161384557,3930,65532,1434,1029,5,47,12,1,4000,10000,4
1778161384617,3924,65532,1431,1029,6,51,12,3,4000,10000,4
1778161384677,3925,65531,1436,1030,6,49,12,3,4000,10000,4
1778161384697,3924,65532,1434,1029,7,47,8,1,4000,10000,4
1778161384776,3925,65532,1434,1029,5,49,8,1,4000,10000,4
1778161384837,3924,65532,1434,1029,7,47,10,3,4000,10000,4
1778161384897,3924,65531,1434,1029,5,48,12,3,4000,10000,4
1778161384977,3927,65532,1436,1029,7,44,14,3,4000,10000,4
1778161384997,3926,65530,1434,1030,7,48,10,3,4000,10000,4
1778161385077,3929,65532,1433,1029,5,49,12,1,4000,10000,4
1778161385137,3932,65534,1434,1029,7,45,11,3,4000,10000,4
1778161385197,3933,65532,1436,1029,6,47,8,1,4000,10000,4
1778161385257,3934,65531,1434,1029,5,48,10,0,4000,10000,4
1778161385317,3936,65531,1434,1030,7,49,10,3,4000,10000,4
1778161385396,3938,65531,1433,1029,5,48,11,1,4000,10000,4
1778161385437,3938,65532,1434,1029,6,44,11,1,4000,10000,4
1778161385477,3939,65531,1436,1029,7,49,12,3,4000,10000,4
1778161385536,3940,65534,1434,1029,6,47,12,3,4000,10000,4
1778161385596,3940,65532,1434,1029,6,47,11,3,4000,10000,4
1778161385677,3938,65531,1433,1029,6,48,10,1,4000,10000,4
1778161385697,3940,65532,1434,1029,7,47,8,1,4000,10000,4
1778161385777,3941,65530,1433,1028,6,48,14,1,4000,10000,4
1778161385837,140,3948,1436,1029,4,48,10,51,4000,10000,4
1778161385877,71,3880,1434,1030,6,45,8,26,4000,10000,4
1778161385957,39,3442,1434,1029,5,47,8,12,4000,10000,4
1778161386016,31,3514,1433,1029,6,47,12,12,4000,10000,4
1778161386097,30,3557,1436,1029,6,49,12,13,4000,10000,4
1778161386137,29,3387,1436,1030,7,45,11,11,4000,10000,4
1778161386177,21,3399,1436,1030,7,48,8,5,4000,10000,4
1778161386257,65534,3849,1434,1029,5,49,8,1,4000,10000,4
1778161386317,65533,3850,1434,1029,4,48,12,3,4000,10000,4
1778161386376,0,3893,1433,1029,5,45,12,3,4000,10000,4
